Country;Code;IsoCode;ShortName;Category;Name;OfficialLanguages
SK;SK-BC;SK-BC;BC;SK kraj,EN region,DE Region;SK Banskobystrický kraj,DE Landesbezirk Banská,EN Banská Bystrica Region;SK
SK;SK-BL;SK-BL;BL;SK kraj,EN region,DE Region;SK Bratislavský kraj,DE Landesbezirk Bratislava,EN Bratislava Region;SK
SK;SK-KI;SK-KI;KI;SK kraj,EN region,DE Region;SK Košický kraj,DE Landesbezirk Košice,EN Košice Region;SK
SK;SK-NI;SK-NI;NI;SK kraj,EN region,DE Region;SK Nitriansky kraj,DE Landesbezirk Nitra,EN Nitra Region;SK
SK;SK-PV;SK-PV;PV;SK kraj,EN region,DE Region;SK Prešovský kraj,DE Landesbezirk Prešov,EN Prešov Region;SK
SK;SK-TC;SK-TC;TC;SK kraj,EN region,DE Region;SK Trenčiansky kraj,DE Landesbezirk Trenčín,EN Trenčín Region;SK
SK;SK-TA;SK-TA;TA;SK kraj,EN region,DE Region;SK Trnavský kraj,DE Landesbezirk Trnava,EN Trnava Region;SK
SK;SK-ZI;SK-ZI;ZI;SK kraj,EN region,DE Region;SK Žilinský kraj,DE Landesbezirk Žilina,EN Žilina Region;SK
