Country;Code;IsoCode;ShortName;Category;Name;OfficialLanguages;Groups;Parent
CH;CH-SO-GA-HK;;SO-GA-HK;DE Gemeinde,RM vischnanca,FR commune,IT comune,EN municipality;DE Härkingen;DE;SO-VS,SO-MS,SO-BS;SO-GA
CH;CH-SO-GA-KH;;SO-GA-KH;DE Gemeinde,RM vischnanca,FR commune,IT comune,EN municipality;DE Kestenholz;DE;SO-VS,SO-MS,SO-BS;SO-GA
CH;CH-SO-GA-ND;;SO-GA-ND;DE Gemeinde,RM vischnanca,FR commune,IT comune,EN municipality;DE Neuendorf;DE;SO-VS,SO-MS,SO-BS;SO-GA
CH;CH-SO-GA-NS;;SO-GA-NS;DE Gemeinde,RM vischnanca,FR commune,IT comune,EN municipality;DE Niederbuchsiten;DE;SO-VS,SO-MS,SO-BS;SO-GA
CH;CH-SO-GA-OE;;SO-GA-OE;DE Gemeinde,RM vischnanca,FR commune,IT comune,EN municipality;DE Oensingen;DE;SO-VS,SO-MS,SO-BS;SO-GA
CH;CH-SO-GA-OS;;SO-GA-OS;DE Gemeinde,RM vischnanca,FR commune,IT comune,EN municipality;DE Oberbuchsiten;DE;SO-VS,SO-MS,SO-BS;SO-GA
CH;CH-SO-GA-WW;;SO-GA-WW;DE Gemeinde,RM vischnanca,FR commune,IT comune,EN municipality;DE Wolfwil;DE;SO-VS,SO-MS,SO-BS;SO-GA
CH;CH-SO-GG;;SO-GG;DE Bezirk,FR district,IT distretto,RM district,EN district;DE Gösgen;DE;SO-VS,SO-MS,SO-BS;SO
CH;CH-SO-GG-EB;;SO-GG-EB;DE Gemeinde,RM vischnanca,FR commune,IT comune,EN municipality;DE Erlinsbach (SO);DE;SO-VS,SO-MS,SO-BS;SO-GG
CH;CH-SO-GG-HI;;SO-GG-HI;DE Gemeinde,RM vischnanca,FR commune,IT comune,EN municipality;DE Hauenstein-Ifenthal;DE;SO-VS,SO-MS,SO-BS;SO-GG
CH;CH-SO-GG-KB;;SO-GG-KB;DE Gemeinde,RM vischnanca,FR commune,IT comune,EN municipality;DE Kienberg;DE;SO-VS,SO-MS,SO-BS;SO-GG
CH;CH-SO-GG-LO;;SO-GG-LO;DE Gemeinde,RM vischnanca,FR commune,IT comune,EN municipality;DE Lostorf;DE;SO-VS,SO-MS,SO-BS;SO-GG
CH;CH-SO-GG-NG;;SO-GG-NG;DE Gemeinde,RM vischnanca,FR commune,IT comune,EN municipality;DE Niedergösgen;DE;SO-VS,SO-MS,SO-BS;SO-GG
CH;CH-SO-GG-OG;;SO-GG-OG;DE Gemeinde,RM vischnanca,FR commune,IT comune,EN municipality;DE Obergösgen;DE;SO-VS,SO-MS,SO-BS;SO-GG
CH;CH-SO-GG-ST;;SO-GG-ST;DE Gemeinde,RM vischnanca,FR commune,IT comune,EN municipality;DE Stüsslingen;DE;SO-VS,SO-MS,SO-BS;SO-GG
CH;CH-SO-GG-TB;;SO-GG-TB;DE Gemeinde,RM vischnanca,FR commune,IT comune,EN municipality;DE Trimbach;DE;SO-VS,SO-MS,SO-BS;SO-GG
CH;CH-SO-GG-WS;;SO-GG-WS;DE Gemeinde,RM vischnanca,FR commune,IT comune,EN municipality;DE Wisen (SO);DE;SO-VS,SO-MS,SO-BS;SO-GG
