Country;Code;IsoCode;ShortName;Category;Name;OfficialLanguages;Parent
PT;PT-AGH;;AGH;PT município,EN municipality,DE Gemeinde;PT Angra do Heroísmo,EN Angra do Heroísmo,DE Angra do Heroísmo;PT;AC
PT;PT-ANS;;ANS;PT município,EN municipality,DE Gemeinde;PT Ansião,EN Ansião,DE Ansião;PT;LE
PT;PT-AVV;;AVV;PT município,EN municipality,DE Gemeinde;PT Arcos de Valdevez,EN Arcos de Valdevez,DE Arcos de Valdevez;PT;VC
PT;PT-AGN;;AGN;PT município,EN municipality,DE Gemeinde;PT Arganil,EN Arganil,DE Arganil;PT;CO
PT;PT-AMM;;AMM;PT município,EN municipality,DE Gemeinde;PT Armamar,EN Armamar,DE Armamar;PT;VI
PT;PT-ARC;;ARC;PT município,EN municipality,DE Gemeinde;PT Arouca,EN Arouca,DE Arouca;PT;AV
PT;PT-ARL;;ARL;PT município,EN municipality,DE Gemeinde;PT Arraiolos,EN Arraiolos,DE Arraiolos;PT;EV
PT;PT-ARR;;ARR;PT município,EN municipality,DE Gemeinde;PT Arronches,EN Arronches,DE Arronches;PT;PA
PT;PT-ARV;;ARV;PT município,EN municipality,DE Gemeinde;PT Arruda dos Vinhos,EN Arruda dos Vinhos,DE Arruda dos Vinhos;PT;LI
PT;PT-AVR;;AVR;PT município,EN municipality,DE Gemeinde;PT Aveiro,EN Aveiro,DE Aveiro;PT;AV
PT;PT-AVS;;AVS;PT município,EN municipality,DE Gemeinde;PT Avis,EN Avis,DE Avis;PT;PA
PT;PT-AZB;;AZB;PT município,EN municipality,DE Gemeinde;PT Azambuja,EN Azambuja,DE Azambuja;PT;LI
PT;PT-BAO;;BAO;PT município,EN municipality,DE Gemeinde;PT Baião,EN Baião,DE Baião;PT;PO
PT;PT-BCL;;BCL;PT município,EN municipality,DE Gemeinde;PT Barcelos,EN Barcelos,DE Barcelos;PT;BR
PT;PT-BRC;;BRC;PT município,EN municipality,DE Gemeinde;PT Barrancos,EN Barrancos,DE Barrancos;PT;BE
PT;PT-BRR;;BRR;PT município,EN municipality,DE Gemeinde;PT Barreiro,EN Barreiro,DE Barreiro;PT;SE
PT;PT-BTL;;BTL;PT município,EN municipality,DE Gemeinde;PT Batalha,EN Batalha,DE Batalha;PT;LE
PT;PT-BJA;;BJA;PT município,EN municipality,DE Gemeinde;PT Beja,EN Beja,DE Beja;PT;BE
PT;PT-BMT;;BMT;PT município,EN municipality,DE Gemeinde;PT Belmonte,EN Belmonte,DE Belmonte;PT;CB
PT;PT-BNV;;BNV;PT município,EN municipality,DE Gemeinde;PT Benavente,EN Benavente,DE Benavente;PT;SA
PT;PT-BBR;;BBR;PT município,EN municipality,DE Gemeinde;PT Bombarral,EN Bombarral,DE Bombarral;PT;LE
PT;PT-BRB;;BRB;PT município,EN municipality,DE Gemeinde;PT Borba,EN Borba,DE Borba;PT;EV
PT;PT-BTC;;BTC;PT município,EN municipality,DE Gemeinde;PT Boticas,EN Boticas,DE Boticas;PT;VR
PT;PT-BRG;;BRG;PT município,EN municipality,DE Gemeinde;PT Braga,EN Braga,DE Braga;PT;BR
PT;PT-BGC;;BGC;PT município,EN municipality,DE Gemeinde;PT Bragança,EN Bragança,DE Bragança;PT;BA
PT;PT-CBC;;CBC;PT município,EN municipality,DE Gemeinde;PT Cabeceiras de Basto,EN Cabeceiras de Basto,DE Cabeceiras de Basto;PT;BR
PT;PT-CDV;;CDV;PT município,EN municipality,DE Gemeinde;PT Cadaval,EN Cadaval,DE Cadaval;PT;LI
PT;PT-CLD;;CLD;PT município,EN municipality,DE Gemeinde;PT Caldas da Rainha,EN Caldas da Rainha,DE Caldas da Rainha;PT;LE
PT;PT-CHT;;CHT;PT município,EN municipality,DE Gemeinde;PT Calheta (Açores),EN Calheta (Azores),DE Calheta (Azoren);PT;AC
PT;PT-CLT;;CLT;PT município,EN municipality,DE Gemeinde;PT Calheta (Madeira),EN Calheta (Madeira),DE Calheta (Madeira);PT;MA
PT;PT-CML;;CML;PT município,EN municipality,DE Gemeinde;PT Câmara de Lobos,EN Câmara de Lobos,DE Câmara de Lobos;PT;MA
PT;PT-CMN;;CMN;PT município,EN municipality,DE Gemeinde;PT Caminha,EN Caminha,DE Caminha;PT;VC
PT;PT-CMR;;CMR;PT município,EN municipality,DE Gemeinde;PT Campo Maior,EN Campo Maior,DE Campo Maior;PT;PA
PT;PT-CNT;;CNT;PT município,EN municipality,DE Gemeinde;PT Cantanhede,EN Cantanhede,DE Cantanhede;PT;CO
PT;PT-CRZ;;CRZ;PT município,EN municipality,DE Gemeinde;PT Carrazeda de Ansiães,EN Carrazeda de Ansiães,DE Carrazeda de Ansiães;PT;BA
PT;PT-CRS;;CRS;PT município,EN municipality,DE Gemeinde;PT Carregal do Sal,EN Carregal do Sal,DE Carregal do Sal;PT;VI
PT;PT-CTX;;CTX;PT município,EN municipality,DE Gemeinde;PT Cartaxo,EN Cartaxo,DE Cartaxo;PT;SA
PT;PT-CSC;;CSC;PT município,EN municipality,DE Gemeinde;PT Cascais,EN Cascais,DE Cascais;PT;LI
PT;PT-CPR;;CPR;PT município,EN municipality,DE Gemeinde;PT Castanheira de Pera,EN Castanheira de Pera,DE Castanheira de Pera;PT;LE
PT;PT-CTB;;CTB;PT município,EN municipality,DE Gemeinde;PT Castelo Branco,EN Castelo Branco,DE Castelo Branco;PT;CB
PT;PT-CPV;;CPV;PT município,EN municipality,DE Gemeinde;PT Castelo de Paiva,EN Castelo de Paiva,DE Castelo de Paiva;PT;AV
PT;PT-CVD;;CVD;PT município,EN municipality,DE Gemeinde;PT Castelo de Vide,EN Castelo de Vide,DE Castelo de Vide;PT;PA
PT;PT-CDR;;CDR;PT município,EN municipality,DE Gemeinde;PT Castro Daire,EN Castro Daire,DE Castro Daire;PT;VI
