Country;Code;ShortName;Category;Name;OfficialLanguages
BE;BE-DE;DE;DE Gemeinschaft,FR communauté,NL Gemeenschap,EN community;DE Deutschsprachige Gemeinschaft,FR Communauté germanophone,NL Duitstalige Gemeenschap,EN German-speaking community;DE
BE;BE-FR;FR;FR communauté,NL Gemeenschap,DE Gemeinschaft,EN community;FR Communauté française,NL Franse Gemeenschap,DE Französische Gemeinschaft,EN French ommunity;FR
BE;BE-NL;NL;NL Gemeenschap,FR communauté,DE Gemeinschaft,EN community;NL Vlaamse Gemeenschap,FR Communauté flamande,DE Flämische Gemeinschaft,EN Flemish community;NL
