Id;Country;StartDate;EndDate;Type;RegionalScope;TemporalScope;Name
03cbd528-61bc-4087-b77d-8ac3c3c00e30;BR;2024-12-24;;Optional;National;HalfDay;PT Véspera do Natal,EN Christmas Eve,DE Heiligabend
644c068e-0792-4909-9427-03ac9f633bc7;BR;2024-12-25;;Public;National;;PT Natal,EN Christmas,DE Weihnachten
fbf5c9b8-bc08-454a-9e80-d14e96da2b5e;BR;2024-12-31;;Optional;National;HalfDay;PT Véspera do Ano Novo,EN New Year's Eve,DE Silvester
2bc40f7b-b683-43ee-9ccb-12321b02c65a;BR;2025-01-01;;Public;National;;PT Confraternização Universal,EN New Year's Day,DE Neujahrstag
135509ae-51bf-4feb-bd6f-710e7810bef9;BR;2025-03-03;2025-03-04;Optional;National;;PT Carnaval,EN Carnival,DE Karneval
7e15a5c3-6311-4b2a-91aa-bf22a422995b;BR;2025-03-05;;Optional;National;;PT Quarta-Feira de Cinzas,EN Ash Wednesday,DE Aschermittwoch 
da0ce1c0-78ba-4f27-9d52-35fe76abe96e;BR;2025-04-18;;Public;National;;PT Paixão de Cristo,EN Good Friday,DE Karfreitag
61b41464-5eb2-4b4f-8b80-61a505c5457a;BR;2025-04-21;;Public;National;;PT Dia de Tiradentes,EN Tiradentes Day,DE Tag des Tiradentes
ed950fd6-e239-42db-bf26-caa13c0c57ff;BR;2025-05-01;;Public;National;;PT Dia Mundial do Trabalho,EN Labour Day,DE Tag der Arbeit
c35b6263-e54a-4468-b75a-9f89491cff20;BR;2025-06-19;;Optional;National;;PT Corpus Christi,EN Corpus Christi,DE Fronleichnam 
06809e00-cdcf-4da5-9547-df980d00c01c;BR;2025-06-20;;Optional;National;;PT Ponto facultativo,EN Optional Holiday,DE Optionaler Feiertag
f6ef5b34-cd09-4874-8e74-cc4a221b2250;BR;2025-09-07;;Public;National;;PT Independência do Brasil,EN Independence Day,DE Unabhängigkeitstag
fa704fd1-3421-4c77-88c8-ed32dca195f6;BR;2025-10-12;;Public;National;;PT Nossa Senhora Aparecida,EN Our Lady of Aparecida,DE Erscheinung der Gottesmutter Maria
45397013-1d41-48c9-9926-8dda2d1eafec;BR;2025-10-28;;Optional;National;;PT Dia do Servidor Público federal,EN Federal Civil Servants Day,DE Tag des Bundesbeamten
e2635dd6-ee11-4798-83d9-c1323d24dd50;BR;2025-11-02;;Public;National;;PT Finados,EN All Souls,DE Allerseelen
eaaa1860-e9c1-47f3-897f-adb41a919d99;BR;2025-11-15;;Public;National;;PT Proclamação da República,EN Proclamation of the Republic,DE Ausrufung der Republik
80212138-0232-4d2e-b51a-00d8f2dbf66e;BR;2025-11-20;;Public;National;;PT Dia Nacional de Zumbi e da Consciência Negra,EN National Black Awareness Day,DE Gedenktag an Schwarze
611d7a1c-39d0-48df-a68a-12beed890689;BR;2025-12-24;;Optional;National;HalfDay;PT Véspera do Natal,EN Christmas Eve,DE Heiligabend
a5bc4f0e-7cea-4c0f-ab85-05078b2613f2;BR;2025-12-25;;Public;National;;PT Natal,EN Christmas,DE Weihnachten
f9aef840-954b-461c-91bc-a056612a5be4;BR;2025-12-31;;Optional;National;HalfDay;PT Véspera do Ano Novo,EN New Year's Eve,DE Silvester
