Country;Code;IsoCode;ShortName;Category;Name;OfficialLanguages;Parent
SI;SI-VR-SA-VE;SI-133;SA-VE;SI mestna občina,DE Stadtgemeinde,EN urban municipality;SL Velenje;SL;VR
SI;SI-VR-PM-VP;SI-187;PM-VP;SI občina,DE Gemeinde,EN municipality;SL Velika Polana;SL;VR
SI;SI-ZR-OS-VL;SI-134;OS-VL;SI občina,DE Gemeinde,EN municipality;SL Velike Lašče;SL;ZR
SI;SI-VR-PM-VE;SI-188;PM-VE;SI občina,DE Gemeinde,EN municipality;SL Veržej;SL;VR
SI;SI-VR-PD-VI;SI-135;PD-VI;SI občina,DE Gemeinde,EN municipality;SL Videm;SL;VR
SI;SI-ZR-GR-VI;SI-136;GR-VI;SI občina,DE Gemeinde,EN municipality;SL Vipava;SL;ZR
SI;SI-VR-SA-VI;SI-137;SA-VI;SI občina,DE Gemeinde,EN municipality;SL Vitanje;SL;VR
SI;SI-ZR-OS-VO;SI-138;OS-VO;SI občina,DE Gemeinde,EN municipality;SL Vodice;SL;ZR
SI;SI-VR-SA-VO;SI-139;SA-VO;SI občina,DE Gemeinde,EN municipality;SL Vojnik;SL;VR
SI;SI-VR-SA-VR;SI-189;SA-VR;SI občina,DE Gemeinde,EN municipality;SL Vransko;SL;VR
SI;SI-ZR-OS-VN;SI-140;OS-VN;SI občina,DE Gemeinde,EN municipality;SL Vrhnika;SL;ZR
SI;SI-VR-KO-VU;SI-141;KO-VU;SI občina,DE Gemeinde,EN municipality;SL Vuzenica;SL;VR
SI;SI-ZR-ZS-ZS;SI-142;ZS-ZS;SI občina,DE Gemeinde,EN municipality;SL Zagorje ob Savi;SL;ZR
SI;SI-VR-PD-ZA;SI-143;PD-ZA;SI občina,DE Gemeinde,EN municipality;SL Zavrč;SL;VR
SI;SI-VR-SA-ZR;SI-144;SA-ZR;SI občina,DE Gemeinde,EN municipality;SL Zreče;SL;VR
SI;SI-VR-PM-CR;SI-015;PM-CR;SI občina,DE Gemeinde,EN municipality;SL Črenšovci;SL;VR
SI;SI-VR-KO-CK;SI-016;KO-CK;SI občina,DE Gemeinde,EN municipality;SL Črna na Koroškem;SL;VR
SI;SI-VR-JS-CR;SI-017;JS-CR;SI občina,DE Gemeinde,EN municipality;SL Črnomelj;SL;VR
SI;SI-VR-PM-SA;SI-033;PM-SA;SI občina,DE Gemeinde,EN municipality;SL Šalovci;SL;VR
SI;SI-ZR-GR-SV;SI-183;GR-SV;SI občina,DE Gemeinde,EN municipality;SL Šempeter-Vrtojba;SL;ZR
SI;SI-VR-PD-SE;SI-118;PD-SE;SI občina,DE Gemeinde,EN municipality;SL Šentilj;SL;VR
SI;SI-VR-JS-SN;SI-119;JS-SN;SI občina,DE Gemeinde,EN municipality;SL Šentjernej;SL;VR
SI;SI-VR-SA-SC;SI-120;SA-SC;SI občina,DE Gemeinde,EN municipality;SL Šentjur;SL;VR
SI;SI-VR-JS-SR;SI-211;JS-SR;SI občina,DE Gemeinde,EN municipality;SL Šentrupert;SL;VR
SI;SI-ZR-GJ-SE;SI-117;GJ-SE;SI občina,DE Gemeinde,EN municipality;SL Šenčur;SL;ZR
SI;SI-VR-JS-SK;SI-121;JS-SK;SI občina,DE Gemeinde,EN municipality;SL Škocjan;SL;VR
SI;SI-ZR-GJ-SL;SI-122;GJ-SL;SI občina,DE Gemeinde,EN municipality;SL Škofja Loka;SL;ZR
SI;SI-ZR-OS-SK;SI-123;OS-SK;SI občina,DE Gemeinde,EN municipality;SL Škofljica;SL;ZR
SI;SI-VR-SA-SJ;SI-124;SA-SJ;SI občina,DE Gemeinde,EN municipality;SL Šmarje pri Jelšah;SL;VR
SI;SI-VR-JS-ST;SI-206;JS-ST;SI občina,DE Gemeinde,EN municipality;SL Šmarješke Toplice;SL;VR
SI;SI-VR-SA-SP;SI-125;SA-SP;SI občina,DE Gemeinde,EN municipality;SL Šmartno ob Paki;SL;VR
SI;SI-ZR-OS-SL;SI-194;OS-SL;SI občina,DE Gemeinde,EN municipality;SL Šmartno pri Litiji;SL;ZR
SI;SI-VR-SA-SS;SI-126;SA-SS;SI občina,DE Gemeinde,EN municipality;SL Šoštanj;SL;VR
SI;SI-VR-SA-ST;SI-127;SA-ST;SI občina,DE Gemeinde,EN municipality;SL Štore;SL;VR
SI;SI-VR-SA-ZA;SI-190;SA-ZA;SI občina,DE Gemeinde,EN municipality;SL Žalec;SL;VR
SI;SI-ZR-GJ-ZE;SI-146;GJ-ZE;SI občina,DE Gemeinde,EN municipality;SL Železniki;SL;ZR
SI;SI-VR-PD-ZE;SI-191;PD-ZE;SI občina,DE Gemeinde,EN municipality;SL Žetale;SL;VR
SI;SI-ZR-GJ-ZI;SI-147;GJ-ZI;SI občina,DE Gemeinde,EN municipality;SL Žiri;SL;ZR
SI;SI-ZR-GJ-ZV;SI-192;GJ-ZV;SI občina,DE Gemeinde,EN municipality;SL Žirovnica;SL;ZR
SI;SI-VR-JS-ZU;SI-193;JS-ZU;SI občina,DE Gemeinde,EN municipality;SL Žužemberk;SL;VR
