Id;Country;StartDate;EndDate;Type;Names
ebbd522f-b627-4ca1-9e1b-223f23aaf676;NL;2023-12-26;;Public;NL Tweede kerstdag,DE 2. Weihnachtsfeiertag,EN Boxing Day
7dade415-a18e-4fab-aa1e-a2046bcedc92;NL;2024-01-01;;Public;NL Nieuwjaarsdag,DE Neujahr,EN New Year’s Day
7cd324ea-df8c-471f-aeea-0572c400aa40;NL;2024-03-29;;Public;NL Goede vrijdag,DE Karfreitag,EN Good Friday
2471f367-5a2f-4b01-ac59-d611108da31b;NL;2024-03-31;;Public;NL Eerste paasdag,DE Ostersonntag,EN Easter Sunday
445eb90a-b5c8-4dcc-bba5-7b7512647d9e;NL;2024-04-01;;Public;NL Tweede paasdag,DE Ostermontag,EN Easter Monday
229b4863-d7fc-47ad-85a9-62bc30456737;NL;2024-04-27;;Public;NL Koningsdag,DE Königstag,EN King’s Day
1fd5d09e-1296-4192-8487-045fb74f094e;NL;2024-05-05;;Public;NL Bevrijdingsdag,DE Tag der Befreiung,EN Liberation Day
e2edb2f3-361e-4cc0-b1d7-f9510c5ab132;NL;2024-05-09;;Public;NL Hemelvaartsdag,DE Himmelfahrt,EN Ascension Day
eaf27e0b-af2e-4fb2-b87b-8c89d5772e83;NL;2024-05-19;;Public;NL Eerste pinksterdag,DE Pfingstsonntag,EN Whit Sunday
e398ad77-97cb-4698-bd4a-0e7dfa375014;NL;2024-05-20;;Public;NL Tweede pinksterdag,DE Pfingstmontag,EN Whit Monday
c1ceeb49-fc2a-4858-bb3e-bc30f174356b;NL;2024-12-25;;Public;NL Eerste kerstdag,DE 1. Weihnachtsfeiertag,EN Christmas Day
b9f3a5d1-c2b6-47d7-9f4f-0d62a25d5f61;NL;2024-12-26;;Public;NL Tweede kerstdag,DE 2. Weihnachtsfeiertag,EN Boxing Day
c4ccb1c0-efc5-481a-b0ef-56d623d18f11;NL;2025-01-01;;Public;NL Nieuwjaarsdag,DE Neujahr,EN New Year’s Day
16cb1b50-c254-41a1-a6ff-11661531e25f;NL;2025-04-18;;Public;NL Goede vrijdag,DE Karfreitag,EN Good Friday
4d7d7345-528f-48d2-a51a-46e51470bd48;NL;2025-04-20;;Public;NL Eerste paasdag,DE Ostersonntag,EN Easter Sunday
cf994daa-4503-45e0-ab52-bfc35d86405e;NL;2025-04-21;;Public;NL Tweede paasdag,DE Ostermontag,EN Easter Monday
31349587-ddaa-4fd0-9752-7fc786c25208;NL;2025-04-27;;Public;NL Koningsdag,DE Königstag,EN King’s Day
8be74455-5c9c-4143-9d6b-928ae2871183;NL;2025-05-05;;Public;NL Bevrijdingsdag,DE Tag der Befreiung,EN Liberation Day
3468ba32-0cf2-44f8-a061-8d37bde921bd;NL;2025-05-29;;Public;NL Hemelvaartsdag,DE Himmelfahrt,EN Ascension Day
2875d34f-1db6-4e65-8cbb-23120550d9f9;NL;2025-06-08;;Public;NL Eerste pinksterdag,DE Pfingstsonntag,EN Whit Sunday
95d8d257-f623-481c-b2ba-28687627fd77;NL;2025-06-09;;Public;NL Tweede pinksterdag,DE Pfingstmontag,EN Whit Monday
b69c396f-4ace-4126-bd64-f67fd9119c29;NL;2025-12-25;;Public;NL Eerste kerstdag,DE 1. Weihnachtsfeiertag,EN Christmas Day
3d6aa3ba-23dd-4493-8a8a-70e9c984e26d;NL;2025-12-26;;Public;NL Tweede kerstdag,DE 2. Weihnachtsfeiertag,EN Boxing Day
2589bbf4-6229-4bd1-b176-0db59687ec5b;NL;2026-01-01;;Public;NL Nieuwjaarsdag,DE Neujahr,EN New Year’s Day
7202ffee-b1a6-4d89-8f62-033fdfba9be9;NL;2026-04-03;;Public;NL Goede vrijdag,DE Karfreitag,EN Good Friday
dcb87ceb-ce81-4ea6-81ab-d0545281bd1e;NL;2026-04-05;;Public;NL Eerste paasdag,DE Ostersonntag,EN Easter Sunday
26d020f7-d02c-470c-9f8b-c71c791df54e;NL;2026-04-06;;Public;NL Tweede paasdag,DE Ostermontag,EN Easter Monday
d53575fc-9aab-4487-8e26-f4ed1d709835;NL;2026-04-27;;Public;NL Koningsdag,DE Königstag,EN King’s Day
abeb6b62-fec1-4fb6-bc0a-9d9984fa49bf;NL;2026-05-05;;Public;NL Bevrijdingsdag,DE Tag der Befreiung,EN Liberation Day
8fd30ad8-b350-4b95-9a10-330895b3fd9e;NL;2026-05-14;;Public;NL Hemelvaartsdag,DE Himmelfahrt,EN Ascension Day
1eba1ba6-e261-4c4e-9845-6c5e3992a257;NL;2026-05-24;;Public;NL Eerste pinksterdag,DE Pfingstsonntag,EN Whit Sunday
4ff852e9-0049-4854-91e9-0f92a9afd2a7;NL;2026-05-25;;Public;NL Tweede pinksterdag,DE Pfingstmontag,EN Whit Monday
c913ea3b-34db-422e-855b-f27103db33b9;NL;2026-12-25;;Public;NL Eerste kerstdag,DE 1. Weihnachtsfeiertag,EN Christmas Day
d441c52b-2bcf-45c5-8dd2-8cae41a3f1e3;NL;2026-12-26;;Public;NL Tweede kerstdag,DE 2. Weihnachtsfeiertag,EN Boxing Day
