Country;Code;IsoCode;ShortName;Category;Name;OfficialLanguages;Parent
ES;ES-CT;ES-CT;CT;ES Comunidad autónoma,CA Comunitat autònoma,EN Autonomous community,DE Autonome Gemeinschaft;CA Catalunya,ES Catalunya,EN Catalonia,DE Katalonien;CA,ES;
ES;ES-CT-BA;ES-B;CT-BA;ES provincia,CA província,EN province,DE Provinz;CA Barcelona,ES Barcelona,EN Barcelona,DE Barcelona;CA,ES;CT
ES;ES-CT-GI;ES-GI;CT-GI;ES provincia,CA província,EN province,DE Provinz;CA Girona,ES Gerona,EN Gironad,DE Girona;CA,ES;CT
ES;ES-CT-LD;ES-L;CT-LD;ES provincia,CA província,EN province,DE Provinz;CA Lleida,ES Lérida,EN Lérida,DE Lérida;CA,ES;CT
ES;ES-CT-TG;ES-T;CT-TG;ES provincia,CA província,EN province,DE Provinz;CA Tarragona,ES Tarragona,EN Tarragona,DE Tarragona;CA,ES;CT
ES;ES-EX;ES-EX;EX;ES Comunidad autónoma,CA Comunitat autònoma,EN Autonomous community,DE Autonome Gemeinschaft;ES Extremadura,CA Extremadura,EN Extremadura,DE Extremadura;ES;
ES;ES-EX-BA;ES-BA;EX-BA;ES provincia,CA província,EN province,DE Provinz;ES Badajoz,CA Badajoz,EN Badajoz,DE Badajoz;ES;EX
ES;ES-EX-CC;ES-CC;EX-CC;ES provincia,CA província,EN province,DE Provinz;ES Cáceres,CA Càceres,EN Cáceres,DE Cáceres;ES;EX
ES;ES-GA;ES-GA;GA;ES Comunidad autónoma,CA Comunitat autònoma,EN Autonomous community,DE Autonome Gemeinschaft;GL Galicia,ES Galicia,CA Galícia,EN Galicia,DE Galicien;GL,ES;
ES;ES-GA-AC;ES-C;GA-AC;ES provincia,CA província,EN province,DE Provinz;GL A Coruña,ES La Coruña,CA La Corunya,EN A Coruña,DE A Coruña;GL,ES;GA
ES;ES-GA-LG;ES-LU;GA-LG;ES provincia,CA província,EN province,DE Provinz;GL Lugo,ES Lugo,CA Llugo,EN Lugo,DE Lugo;GL,ES;GA
ES;ES-GA-OR;ES-OR;GA-OR;ES provincia,CA província,EN province,DE Provinz;GL Ourense,ES Orense,CA Ourense,EN Ourense,DE Ourense;GL,ES;GA
ES;ES-GA-PV;ES-PO;GA-PV;ES provincia,CA província,EN province,DE Provinz;GL Pontevedra,ES Pontevedra,CA Pontevedra,EN Pontevedra,DE Pontevedra;GL,ES;GA
ES;ES-IB;ES-IB;IB;ES Comunidad autónoma,CA Comunitat autònoma,EN Autonomous community,DE Autonome Gemeinschaft;CA Illes Balears,ES Illes Balears,EN Balearic Islands,DE Balearische Inseln;CA,ES;
ES;ES-IB-PM;ES-PM;IB-PM;ES provincia,CA província,EN province,DE Provinz;CA Illes Balears,ES Islas Baleares,EN Balearic Islands,DE Balearische Inseln;CA,ES;IB
ES;ES-MC;ES-MC;MC;ES Comunidad autónoma,CA Comunitat autònoma,EN Autonomous community,DE Autonome Gemeinschaft;ES Región de Murcia,CA Regió de Múrcia,EN Region of Murcia,DE Region Murcia;ES;
ES;ES-MC-MU;ES-MU;MC-MU;ES provincia,CA província,EN province,DE Provinz;ES Murcia,CA Múrcia,EN Murcia,DE Murcia;ES;MC
ES;ES-MD;ES-MD;MD;ES Comunidad de Madrid,CA Comunitat de Madrid,EN Community of Madrid,DE Region Madrid;ES Comunidad de Madrid,CA Comunitat de Madrid,EN Community of Madrid,DE Region Madrid;ES;
ES;ES-MD-MD;ES-M;MD-MD;ES provincia,CA província,EN province,DE Provinz;ES Madrid,CA Madrid,EN Madrid,DE Madrid;ES;MD
ES;ES-ML;ES-ML;ML;ES Ciudad autónoma del norte de África,CA Ciutat autònoma a l'Àfrica del Nord,EN Autonomous city in North Africa,DE Autonome Stadt in Nordafrika;ES Melilla,CA Melilla,EN Melilla,DE Melilla;ES;
ES;ES-NC;ES-NC;NC;ES Comunidad autónoma,CA Comunitat autònoma,EN Autonomous community,DE Autonome Gemeinschaft;EU Nafarroako Foru Komunitatea,ES Comunidad Foral de Navarra,CA Comunitat Foral de Navarra,EN Navarra,DE Navarra ;EU,ES;
