Id;Country;StartDate;EndDate;Type;RegionalScope;Status;Name;Subdivisions
5a7c19f8-d79f-48bc-acaf-188c61777c97;PT;2020-05-12;;Public;Local;Optional;PT Feriado Municipal,EN Municipal holiday,DE Kommunaler Feiertag;AV-AV
5a6b4337-d3db-487f-a600-49cc5484d237;PT;2020-05-13;;Public;Local;Optional;PT Feriado Municipal,EN Municipal holiday,DE Kommunaler Feiertag;FA-VS
050a10f2-a040-4543-9d51-cbfd1447da7e;PT;2020-05-14;;Public;Local;Optional;PT Dia de São Frei Gil,EN Day of St Giles of Santarém,DE Tag des Heiligen Ägidius von Santarém;VI-VO
a9ec9a69-8df8-49a8-ad90-b9d9537d7dda;PT;2020-05-15;;Public;Local;Optional;PT Feriado Municipal,EN Municipal holiday,DE Kommunaler Feiertag;LE-CR
a80d241f-7d65-42a7-bf8b-6b11f864cba5;PT;2020-05-16;;Public;Local;Optional;PT Feriado Municipal,EN Municipal holiday,DE Kommunaler Feiertag;BR-FA
c9776c81-c9e5-4438-b80d-3a207da00644;PT;2020-05-17;;Public;Local;Optional;PT Feriado Municipal,EN Municipal holiday,DE Kommunaler Feiertag;AV-AN,BE-BE,LE-MG,LI-VX,SA-TN
7b3118f5-69c8-456e-bfd6-c659f97f3701;PT;2020-05-20;;Public;Local;Optional;PT Feriado Municipal,EN Municipal holiday,DE Kommunaler Feiertag;BA-VN
cc996774-309c-42c1-ad56-06c04ec7b30a;PT;2020-05-21;;Public;Local;Optional;PT Feriado Municipal,EN Municipal holiday,DE Kommunaler Feiertag;AV-AN,AV-ME,AV-OB,BE-AV,BE-BE,BE-VI,EV-AR,EV-ES,FA-MO,GU-VF,LE-AN,LE-MG,LI-AL,LI-AV,LI-AZ,LI-MA,LI-SM,LI-VX,PA-AC,SA-AC,SA-AM,SA-BE,SA-CA,SA-CH,SA-GO,SA-SM,SA-TN,VC-ME,VI-MR,VI-SC
7e944c8d-28dc-4645-bc86-212b15deb143;PT;2020-05-22;;Public;Local;Optional;PT Feriado Municipal,EN Municipal holiday,DE Kommunaler Feiertag;LE-LE
66929031-eef9-40ff-b744-d06ccc723596;PT;2020-05-23;;Public;Local;Optional;PT Nascimento de Sacadura Cabral,EN Birthday of Sacadura Cabral,DE Geburtstag Sacadura Cabral;GU-CB
19042ee5-d9da-4054-bfde-42999edb0e77;PT;2020-05-23;;Public;Local;Optional;PT Feriado Municipal,EN Municipal holiday,DE Kommunaler Feiertag;PA-PA
4361b990-a9a5-4bd3-b5e5-cd7525a8b106;PT;2020-05-25;;Public;Local;Optional;PT Feriado Municipal,EN Municipal holiday,DE Kommunaler Feiertag;BA-MI,FA-LO,MA-SA,SA-TN
3b315a35-d2ff-4219-9a9e-2a770fde547c;PT;2020-05-29;;Public;Local;Optional;PT Feriado Municipal,EN Municipal holiday,DE Kommunaler Feiertag;GU-TR
4751fb5f-3168-4504-aa89-0b9d7f534ce8;PT;2020-06-01;;Public;Local;Optional;PT Segunda-feira após o Domingo de Pentecostes,EN Whit Monday,DE Pfingstmontag;AV-AG,AV-VG
267ec107-20ff-4e8f-8cad-2313d8d599e3;PT;2020-06-01;;Public;Local;Optional;PT Nascimento de José Falcão,EN Birthday of José Falcão,DE Geburtstag José Falcão;CO-MC
b2cc40c7-b044-465a-93c9-84aea26eed62;PT;2020-06-01;;Public;Local;Optional;PT Feriado Municipal,EN Municipal holiday,DE Kommunaler Feiertag;FA-SB
1dfd4118-f4f9-485d-bd4b-6c7fefeaa5f4;PT;2020-06-01;;Public;Local;Optional;PT Feriado Municipal,EN Municipal holiday,DE Kommunaler Feiertag manuelino;SE-PA
ff6efad4-4462-4a82-8269-500076f5d1b3;PT;2020-06-02;;Public;Local;Optional;PT Terça-feira após o Domingo de Pentecostes,EN Whit Tuesday,DE Pfingstdienstag;PO-MT
e332f427-1fa4-4ccb-9071-9ea00e5af1b1;PT;2020-06-04;;Public;Local;Optional;PT Feriado Municipal,EN Municipal holiday,DE Kommunaler Feiertag;AV-AG
a0d20d8e-b3d9-4f74-b2e5-f301f7a21088;PT;2020-06-07;;Public;Local;Optional;PT Feriado Municipal,EN Municipal holiday,DE Kommunaler Feiertag;LI-OE
80398dba-c81d-4c28-bc4b-c8ed6cb45d8e;PT;2020-06-09;;Public;Local;Optional;PT Feriado Municipal,EN Municipal holiday,DE Kommunaler Feiertag;VR-MT
b4419d81-db21-489e-b7d2-150dfe5bf77b;PT;2020-06-12;;Public;Local;Optional;PT Feriado Municipal,EN Municipal holiday,DE Kommunaler Feiertag;AC-PC
3398e6d9-5d6a-4ef9-9392-de5b55b30025;PT;2020-06-13;;Public;Local;Optional;PT Dia de Santo António,EN St Anthony's Day,DE Tag des heiligen Antonius von Padua;AV-ER,AV-VC,BE-AJ,BR-AM,BR-VF,BR-VV,CB-PN,EV-RM,LE-AV,LI-CS,LI-LI,SA-FZ,SA-VB,VR-VR
72d8434f-d9bd-46cb-a450-0334a4fb786e;PT;2020-06-14;;Public;Local;Optional;PT Feriado Municipal,EN Municipal holiday,DE Kommunaler Feiertag;SA-AB
f3cf0cbb-2369-4958-bf94-e63a1d27c79b;PT;2020-06-16;;Public;Local;Optional;PT Feriado Municipal,EN Municipal holiday,DE Kommunaler Feiertag;AV-EN,FA-OL
35dae894-a449-4bc8-b2c1-a2382691d852;PT;2020-06-20;;Public;Local;Optional;PT Feriado Municipal,EN Municipal holiday,DE Kommunaler Feiertag;AC-CO,SA-OU
b3253a84-4ed3-4de9-8a6a-739be17ec481;PT;2020-06-22;;Public;Local;Optional;PT Feriado Municipal,EN Municipal holiday,DE Kommunaler Feiertag;VR-VP
