Id;Country;StartDate;EndDate;Type;Names;Subdivisions;OUnits
211b9c78-a796-4983-a97f-3cd928eff99f;CZ;2024-02-26;2024-03-03;School;CS Jarní prázdniny,DE Frühjahrsferien,EN Spring holidays;LI-CL,LI-JN,LI-LB,LI-SM,VY-HB,VY-JI,VY-PE,VY-TR,VY-ZR,ST-KL,ST-KO,ST-KH,JC-PI,KR-NA,MO-BR;
338dbca3-a3e0-4b03-a267-75f80cc0bf36;CZ;2024-03-04;2024-03-10;School;CS Jarní prázdniny,DE Frühjahrsferien,EN Spring holidays;ST-MB,ST-PB,JC-TA,JC-PT,JC-ST,US-UL,US-CV,US-MO,KR-JC,KR-RK,OL-OC,OL-SU,MO-OP,OL-JE;
e2e58ae3-f414-47e7-9c19-edb42c2a49a1;CZ;2024-03-11;2024-03-17;School;CS Jarní prázdniny,DE Frühjahrsferien,EN Spring holidays;ST-BN,ST-BE,PL-RO,JC-CB,JC-CK,PL-KT,KR-TU,PA-PU,PA-CR,PA-SY,PA-UO,MO-OV,OL-PV;
f87403f8-f416-438a-828f-237b360d3ee5;CZ;2024-03-28;2024-03-28;School;CS Velikonoční prázdniny,DE Osterferien,EN Easter holidays;;
d685bec3-3903-4a46-9178-8c907aca8193;CZ;2024-06-29;2024-09-01;School;CS Hlavní prázdniny,DE Sommerferien,EN Summer holidays;;
8d044685-0437-4abc-9368-84ac4cd9df99;CZ;2024-10-29;2024-10-30;School;CS Podzimní prázdniny,DE Herbstferien,EN Autumn holidays;;
aa3355b1-bf46-4f85-ae1d-02b6dd2ada06;CZ;2024-12-23;2025-01-03;School;CS Vánoční prázdniny,DE Weihnachtsferien,EN Christmas holidays;;
0b3cb202-c7e8-4dd0-ac87-58196e84c8c5;CZ;2025-01-31;2025-01-31;School;CS Pololetní prázdniny,DE Semesterferien,EN Half-term holidays;;
d1187a76-8819-4db6-bc83-140a19590f79;CZ;2025-02-03;2025-02-09;School;CS Jarní prázdniny,DE Frühjahrsferien,EN Spring holidays;ST-BN,ST-BE,PL-RO,JC-CB,JC-CK,PL-KT,KR-TU,PA-PU,PA-CR,PA-SY,PA-UO,MO-OV,OL-PV;
96274c98-29ce-45f2-b643-978c226600d7;CZ;2025-02-10;2025-02-16;School;CS Jarní prázdniny,DE Frühjahrsferien,EN Spring holidays;PR;PR-1-5
efbcee49-b8ac-4a30-b3ce-695a3efab49f;CZ;2025-02-10;2025-02-16;School;CS Jarní prázdniny,DE Frühjahrsferien,EN Spring holidays;JM-BK,JM-BM,JM-BO,JM-BV,JM-HO,JM-VY,JM-ZN,PL-DO,PL-TC,US-LN,MO-KI;
4f2e8e34-2721-45e4-af5c-6f2a447e4f4d;CZ;2025-02-17;2025-02-23;School;CS Jarní prázdniny,DE Frühjahrsferien,EN Spring holidays;PR;PR-6-10
ba2b35c9-15ac-47eb-87c4-d707cb78dfc6;CZ;2025-02-17;2025-02-23;School;CS Jarní prázdniny,DE Frühjahrsferien,EN Spring holidays;KA-CH,KA-KV,KA-SO,ST-NB,JC-JH,US-LT,US-DC,OL-PR,MO-FM;
6a7464d1-b701-49d8-9435-307696146f33;CZ;2025-02-24;2025-03-02;School;CS Jarní prázdniny,DE Frühjahrsferien,EN Spring holidays;ZL-KM,ZL-UH,ZL-VS,ZL-ZL,ST-PH,ST-PZ,ST-ME,ST-RA,PL-PJ,PL-PM,PL-PS,KR-HK,US-TP,MO-NJ;
00eca8d8-cd76-4574-8a20-6697b8198373;CZ;2025-03-03;2025-03-09;School;CS Jarní prázdniny,DE Frühjahrsferien,EN Spring holidays;LI-CL,LI-JN,LI-LB,LI-SM,VY-HB,VY-JI,VY-PE,VY-TR,VY-ZR,ST-KL,ST-KO,ST-KH,JC-PI,KR-NA,MO-BR;
