Id;Country;StartDate;EndDate;Type;RegionalScope;Name;
d1a2c94e-76e1-4489-b643-e1ae2c061cb8;RU;2023-05-01;;Public;National;RU Праздник Весны и Труда,DE Tag der Arbeit,EN Labour Day;
bfbad31a-949b-4790-9290-1fbadc5572f1;RU;2023-05-06;2023-05-08;Public;National;RU Дни отдыха,DE Ruhetage,EN Days off;
cca99337-7e62-4aa6-8def-0db681afb592;RU;2023-05-09;;Public;National;RU День Победы,DE Tag des Sieges,EN Victory Day;
e90aeee2-6e08-43cd-8dfd-25acc7164460;RU;2023-06-10;2023-06-11;Public;National;RU Дни отдыха,DE Ruhetage,EN Days off;
fee80a8e-d0fe-44e9-abc5-52136b2f0d77;RU;2023-06-12;;Public;National;RU День России,DE Russlandtag,EN Russia Day;
8a1131f2-3821-465e-bae6-06ec7de8ad32;RU;2023-11-04;;Public;National;RU День народного единства,DE Tag der nationalen Einheit,EN National Unity Day;
3625f1d6-d33d-4f11-b5a3-ffd4d37fee83;RU;2023-11-05;2023-11-06;Public;National;RU Дни отдыха,DE Ruhetage,EN Days off;
89fed2ae-2f75-4d7b-87fe-e167f36a81c8;RU;2024-01-01;2024-01-06;Public;National;RU Новогодние каникулы,DE Neujahrsferien,EN New Year's Holidays;
e5a4f48d-71b0-4909-b1f8-b1323227fc65;RU;2024-01-07;;Public;National;RU Православное Рождество,DE Geburt Christi (Orthodoxe Weihnachten),EN Nativity of Christ (Orthodox Christmas);
44db6a1b-db45-42d6-96a4-13795bfe6004;RU;2024-01-08;;Public;National;RU Новогодние каникулы,DE Neujahrsferien,EN New Year's Holidays;
8c74d748-3c10-43ed-a4b8-08d04d6bbb78;RU;2024-02-23;;Public;National;RU День защитника Отечества,DE Tag des Verteidigers des Vaterlandes,EN Defender of the Fatherland Day;
e0d79676-ff8c-4e3f-b5e7-445df775ca58;RU;2024-02-24;2024-02-25;Public;National;RU Дни отдыха,DE Ruhetage,EN Days off;
8688ce4f-dfca-488d-8b91-d9c1bf10730c;RU;2024-03-08;;Public;National;RU Международный женский день,DE Internationaler Frauentag,EN International Women's Day;
c03cce5b-4ddc-421d-a986-b504bcc78e99;RU;2024-03-09;2024-03-10;Public;National;RU Дни отдыха,DE Ruhetage,EN Days off;
03b3e819-d779-4642-8167-1dc0d8326c32;RU;2024-04-28;2024-04-30;Public;National;RU Дни отдыха,DE Ruhetage,EN Days off;
3a07ede7-ef05-4ddb-9983-245c6d36871b;RU;2024-05-01;;Public;National;RU Праздник Весны и Труда,DE Tag der Arbeit,EN Labour Day;
62772c90-0956-477b-af3c-975436f7710a;RU;2024-05-09;;Public;National;RU День Победы,DE Tag des Sieges,EN Victory Day;
ef416314-cc06-4b51-893c-119702e2b612;RU;2024-05-10;2024-05-12;Public;National;RU Дни отдыха,DE Ruhetage,EN Days off;
9fc6c3d0-f3b2-4306-8144-3cd74f2ab4cf;RU;2024-06-12;;Public;National;RU День России,DE Russlandtag,EN Russia Day;
76d5fa79-723e-4008-83cb-24750675e24c;RU;2024-11-03;;Public;National;RU День отдыха,DE Ruhetag,EN Day off;
abee5adb-60d6-4f5c-b3dc-5661980d9133;RU;2024-11-04;;Public;National;RU День народного единства,DE Tag der nationalen Einheit,EN National Unity Day;
63435cea-7f04-4d75-a682-d8db117dfeb6;RU;2024-12-29;2025-01-06;Public;National;RU Новогодние каникулы,DE Neujahrsferien,EN New Year's Holidays;
af06e80d-9b93-4965-9a13-d54c1f49d5a9;RU;2025-01-07;;Public;National;RU Православное Рождество,DE Geburt Christi (Orthodoxe Weihnachten),EN Nativity of Christ (Orthodox Christmas);
72e99cd9-f4de-4405-889d-a6c60791f0ba;RU;2025-01-08;;Public;National;RU Новогодние каникулы,DE Neujahrsferien,EN New Year's Holidays;
034ee0a9-4048-4184-be5f-8858127d3c75;RU;2025-02-23;;Public;National;RU День защитника Отечества,DE Tag des Verteidigers des Vaterlandes,EN Defender of the Fatherland Day;
0007f371-244a-4d90-8a97-24de8e6af2db;RU;2025-03-08;;Public;National;RU Международный женский день,DE Internationaler Frauentag,EN International Women's Day;
5507957a-6630-4f29-98f1-d6adfaea2fc5;RU;2025-05-01;;Public;National;RU Праздник Весны и Труда,DE Tag der Arbeit,EN Labour Day;
9c5efc6a-5ac2-4f19-879f-43f8718e3267;RU;2025-05-09;;Public;National;RU День Победы,DE Tag des Sieges,EN Victory Day;
cda3499a-efe8-4e67-922b-83b60e380656;RU;2025-06-12;;Public;National;RU День России,DE Russlandtag,EN Russia Day;
8de0b0ea-6720-487d-84f2-a156af9dbad6;RU;2025-11-04;;Public;National;RU День народного единства,DE Tag der nationalen Einheit,EN National Unity Day;
af2a182b-abcf-4e8a-aec2-0cb536e344f0;RU;2026-01-01;2026-01-06;Public;National;RU Новогодние каникулы,DE Neujahrsferien,EN New Year's Holidays;
0d026a6b-2979-419b-ae43-9e87f314c44d;RU;2026-01-07;;Public;National;RU Православное Рождество,DE Geburt Christi (Orthodoxe Weihnachten),EN Nativity of Christ (Orthodox Christmas);
f3e3e1d2-d7cc-4696-b8b1-0ffd5c2cfeda;RU;2026-01-08;;Public;National;RU Новогодние каникулы,DE Neujahrsferien,EN New Year's Holidays;
c49be845-aae3-48fa-bfe7-03898f794212;RU;2026-02-23;;Public;National;RU День защитника Отечества,DE Tag des Verteidigers des Vaterlandes,EN Defender of the Fatherland Day;
8cbe24cd-d93f-4b32-b3c6-9bad3ab80416;RU;2026-03-08;;Public;National;RU Международный женский день,DE Internationaler Frauentag,EN International Women's Day;
b303e7b2-3e74-42cb-b9cf-9a69bad0ede1;RU;2026-05-01;;Public;National;RU Праздник Весны и Труда,DE Tag der Arbeit,EN Labour Day;
dd51af90-8409-414a-9671-20e2f8b2cd09;RU;2026-05-09;;Public;National;RU День Победы,DE Tag des Sieges,EN Victory Day;
d42d372f-0805-4df1-8367-a8fd725627bb;RU;2026-06-12;;Public;National;RU День России,DE Russlandtag,EN Russia Day;
28ca901e-0bdd-4403-b1e4-c6c571775166;RU;2026-11-04;;Public;National;RU День народного единства,DE Tag der nationalen Einheit,EN National Unity Day;
46e95dfe-8611-48ac-bd64-4294cdfeb8a6;RU;2027-01-01;2027-01-06;Public;National;RU Новогодние каникулы,DE Neujahrsferien,EN New Year's Holidays;
340a1982-8773-4d87-aab7-04c6e65243f2;RU;2027-01-07;;Public;National;RU Православное Рождество,DE Geburt Christi (Orthodoxe Weihnachten),EN Nativity of Christ (Orthodox Christmas);
2939f599-3e7d-476c-8667-6d0164bba591;RU;2027-01-08;;Public;National;RU Новогодние каникулы,DE Neujahrsferien,EN New Year's Holidays;
2be8b99c-5537-4eca-9cab-8d6ed8c1a177;RU;2027-02-23;;Public;National;RU День защитника Отечества,DE Tag des Verteidigers des Vaterlandes,EN Defender of the Fatherland Day;
