Id;Country;StartDate;EndDate;Type;Name;Subdivisions;
c00767c9-046b-4701-9125-42e13a457b76;MY;2024-09-16;;Public;EN Malaysia Day;;
bd995713-1067-40a5-9ee2-f1edf11be7ff;MY;2024-09-16;;Public;EN Prophet Muhammad's Birthday;;
cf498681-2e75-426e-9581-e446ca2a2a22;MY;2024-09-29;;Public;EN Sultan of Kelantan's Birthday;MY-03;
20bee63e-b781-456e-ab7b-abc35c5c323a;MY;2024-09-30;;Public;EN Sultan of Kelantan's Birthday (Second Day);MY-03;
8107f65a-f32e-4f31-81b9-01581bf8a01b;MY;2024-10-05;;Public;EN Sabah Governor's Birthday;MY-12;
23825ce4-25ad-498d-909f-82b1180d24f1;MY;2024-10-12;;Public;EN Sarawak Governor's Birthday;MY-13;
fa500e16-ad01-403b-a6b7-5842c551cbc0;MY;2024-10-31;;Public;EN Deepavali;MY-14,MY-15,MY-16,MY-01,MY-02,MY-03,MY-04,MY-05,MY-06,MY-08,MY-09,MY-07,MY-12,MY-10,MY-11;
7c42534e-ebd9-4c6c-8206-63fbb2a82b11;MY;2024-11-01;;Public;EN Sultan of Perak's Birthday;MY-08;
c0cf7c85-d66e-4a67-b41d-f38c3531cdc2;MY;2024-12-11;;Public;EN Sultan of Selangor's Birthday;MY-10;
22290aa9-bfcb-460f-866b-ce5c5e15914b;MY;2024-12-24;;Public;EN Christmas Eve;MY-12;
983bc1c4-79c3-4a10-ab4d-e4b8730a4b97;MY;2024-12-25;;Public;EN Christmas Day;;
