Country;Code;ShortName;Category;Name
NL;NL-MI;MI;NL Regio,EN region,DE Region;NL Regio Midden,EN Central Region,DE Region Mitte
NL;NL-NO;NO;NL Regio,EN region,DE Region;NL Regio Noord,EN North Region,DE Region Nord
NL;NL-ZU;ZU;NL Regio,EN region,DE Region;NL Regio Zuid,EN South Region,DE Region Süd
