Country;Code;ShortName;Names;Comments;Parent
NL;NL-NO;NO;NL Regio Noord,DE Region Nord,EN North Region;;
NL;NL-MI;MI;NL Regio Midden,DE Region Mitte,EN Central Region;;
NL;NL-ZU;ZU;NL Regio Zuid,DE Region Süd,EN South Region;;
NL;NL-NO-DR;DR;NL Drenthe,DE Drenthe,EN Drenthe;NL Alle gemeenten,DE Alle Gemeinden,EN All municipalities;NO
NL;NL-NO-FL;FL-N;NL Flevoland (Noord),DE Flevoland (Norden),EN Flevoland (north);NL Alle gemeenten behalve Zeewolde,DE Alle Gemeinden außer Zeewolde,EN All municipalities except Zeewolde;NO
NL;NL-NO-FR;FR;NL Friesland,DE Friesland,EN Friesland;NL Alle gemeenten,DE Alle Gemeinden,EN All municipalities;NO
NL;NL-NO-GE;GE-N;NL Gelderland (Noord),DE Gelderland (Norden),EN Gelderland (north);NL Hattem,DE Hattem,EN Hattem;NO
NL;NL-NO-GR;GR;NL Groningen,DE Groningen,EN Groningen;NL Alle gemeenten,DE Alle Gemeinden,EN All municipalities;NO
NL;NL-NO-NH;NH;NL Noord-Holland,DE Nord-Holland,EN North Holland;NL Alle gemeenten,DE Alle Gemeinden,EN All municipalities;NO
NL;NL-NO-OV;OV;NL Overijssel,DE Overijssel,EN Overijssel;NL Alle gemeenten,DE Alle Gemeinden,EN All municipalities;NO
NL;NL-NO-UT;UT-N;NL Utrecht (Noord),DE Utrecht (Norden),EN Utrecht (north);NL Eemnes en wat vroeger gemeente Abcoude was,DE Eemnes und die frühere Gemeinde Abcoude,EN Eemnes and the former municipality of Abcoude;NO
NL;NL-MI-FL;FL-M;NL Flevoland (Midden),DE Flevoland (Mitte),EN Flevoland (central);NL Zeewolde,DE Zeewolde,EN Zeewolde;MI
NL;NL-MI-GE;GE-M;NL Gelderland (Midden),DE Gelderland (Mitte),EN Gelderland (central);NL Aalten%2C Apeldoorn%2C Barneveld%2C Berkelland%2C Bronckhorst%2C Brummen%2C Buren%2C Culemborg%2C Doetinchem%2C Ede%2C Elburg%2C Epe%2C Ermelo%2C Harderwijk%2C Heerde%2C Lochem%2C Montferland (behalve wat vroeger gemeente Didam was)%2C Neder-Betuwe (behalve wat vroeger gemeente Dodewaard was)%2C Nijkerk%2C Nunspeet%2C Oldebroek%2C Oost-Gelre%2C Oude IJsselstreek%2C Putten%2C Scherpenzeel%2C Tiel%2C Voorst%2C Wageningen%2C West Betuwe%2C Winterswijk en Zutphen,DE Aalten%2C Apeldoorn%2C Barneveld%2C Berkelland%2C Bronckhorst%2C Brummen%2C Buren%2C Culemborg%2C Doetinchem%2C Ede%2C Elburg%2C Epe%2C Ermelo%2C Harderwijk%2C Heerde%2C Lochem%2C Montferland (außer der ehemaligen Gemeinde Didam)%2C Neder- Betuwe Betuwe (außer der ehemaligen Gemeinde Dodewaard)%2C Nijkerk%2C Nunspeet%2C Oldebroek%2C Oost-Gelre%2C Oude IJsselstreek%2C Putten%2C Scherpenzeel%2C Tiel%2C Voorst%2C Wageningen%2C West Betuwe%2C Winterswijk und Zutphen,EN Aalten%2C Apeldoorn%2C Barneveld%2C Berkelland%2C Bronckhorst%2C Brummen%2C Buren%2C Culemborg%2C Doetinchem%2C Ede%2C Elburg%2C Epe%2C Ermelo%2C Geldermalsen%2C Harderwijk%2C Heerde%2C Lingewaal%2C Lochem%2C Montferland (except the former municipality of Didam)%2C Neder-Betuwe (except the former municipality of Dodewaard)%2C Neerijnen%2C Nijkerk%2C Nunspeet%2C Oldebroek%2C Oost-Gelre%2C Oude IJsselstreek%2C Putten%2C Scherpenzeel%2C Tiel%2C Voorst%2C Wageningen%2C Winterswijk and Zutphen;MI
