Id;Country;StartDate;EndDate;Type;Names;Subdivisions;Comments
8629e5d3-b658-4a60-bf1a-8b36f2477084;AT;2020-02-10;2020-02-15;School;DE Semesterferien,EN Semester Holidays;VA;
21974c0b-098e-4ffa-be35-e67b33c8215b;AT;2020-04-04;2020-04-14;School;DE Osterferien,EN Easter Holidays;VA;
776e17e9-4f65-46a0-ba22-07c7c9f7ba1d;AT;2020-05-30;2020-06-02;School;DE Pfingstferien,EN Pentecost Holidays;VA;
2cfc7e07-a09c-46d1-bd31-e70c4672b728;AT;2020-07-11;2020-09-13;School;DE Sommerferien,EN Summer Holidays;VA;
649f243b-a72c-47ae-b38c-18b84e9b3603;AT;2020-10-27;2020-10-31;School;DE Herbstferien,EN Autumn Holidays;VA;
d4592313-4d5f-4774-9464-7fee4878e019;AT;2020-12-24;2021-01-06;School;DE Weihnachtsferien,EN Christmas Holidays;VA;
e624761f-35a7-491c-868c-514df26e46e4;AT;2021-02-08;2021-02-13;School;DE Semesterferien,EN Semester Holidays;VA;
025047c8-4188-4703-863c-0ea9e2333e43;AT;2021-03-27;2021-04-05;School;DE Osterferien,EN Easter Holidays;VA;
5a54a633-ab2e-48ab-88f7-344cdedad191;AT;2021-05-22;2021-05-24;School;DE Pfingstferien,EN Pentecost Holidays;VA;
e6a59e40-75d5-4473-a746-56d5b30e93b6;AT;2021-07-10;2021-09-12;School;DE Sommerferien,EN Summer Holidays;VA;
74ef2e94-8908-4118-96cb-99a032822a6c;AT;2021-10-27;2021-10-31;School;DE Herbstferien,EN Autumn Holidays;VA;
16403948-39c8-4056-b7ee-ef5185ceaadf;AT;2021-12-24;2022-01-06;School;DE Weihnachtsferien,EN Christmas Holidays;VA;
4695692a-3a1d-45e4-af44-6de38b2e3471;AT;2022-02-14;2022-02-19;School;DE Semesterferien,EN Semester Holidays;VA;
e8401588-2dcb-40aa-ba5e-20acdfcb01d7;AT;2022-04-09;2022-04-18;School;DE Osterferien,EN Easter Holidays;VA;
f048445e-fac7-41c8-9469-613eb4d04929;AT;2022-06-04;2022-06-06;School;DE Pfingstferien,EN Pentecost Holidays;VA;
2fcf7f16-82c4-4286-86b3-6c4b0237ddc4;AT;2022-07-09;2022-09-11;School;DE Sommerferien,EN Summer Holidays;VA;
bccafe4a-d6ff-450e-b060-052326c82fc2;AT;2022-10-27;2022-10-31;School;DE Herbstferien,EN Autumn Holidays;VA;
47d237c5-6488-446f-b7b8-58c668e250a0;AT;2022-12-24;2023-01-06;School;DE Weihnachtsferien,EN Christmas Holidays;VA;
c5f58a5d-9ed3-4b9a-b638-4ee853c1a9e2;AT;2023-02-13;2023-02-18;School;DE Semesterferien,EN Semester Holidays;VA;
ae36ec6d-664c-4846-8ff0-b714f5bf7a6b;AT;2023-04-01;2023-04-10;School;DE Osterferien,EN Easter Holidays;VA;
4f8d2921-ac2c-4973-99e7-f41de833e577;AT;2023-05-27;2023-05-29;School;DE Pfingstferien,EN Pentecost Holidays;VA;
b42de5c1-5f5f-4e4a-b6a5-33c05a39b9af;AT;2023-07-08;2023-09-10;School;DE Sommerferien,EN Summer Holidays;VA;
