Id;Country;StartDate;EndDate;Type;Name;Comment
b884ac34-9ea0-47e0-8db6-14b639a17135;LV;2021-01-01;;Public;LV Jaungada dienu,DE Neujahr,EN New Year's Day;
a1613743-688a-46d6-ab4f-54fe6f03c449;LV;2021-04-10;;Public;LV Lielo Piektdienu,DE Karfreitag,EN Good Friday;
d9dae605-f35a-4851-9a91-cfe934140d9d;LV;2021-04-12;;Public;LV Pirmās Lieldienas,DE Ostersonntag,EN Easter Sunday;
0ce8d7fc-6dce-4b3e-a2fa-d21d0ba7cbbe;LV;2021-04-13;;Public;LV Lieldienu dienu,DE Ostermontag,EN Easter Monday;
af847dce-fdf6-4806-85c3-92a5d365a0d0;LV;2021-05-01;;Public;LV Darba svētkus,DE Tag der Arbeit,EN Labour Day;
79ce4916-57b9-4e89-ab52-3030a56ac915;LV;2021-05-04;;Public;LV Latvijas Republikas Neatkarības atjaunošanas dienu,DE Tag der Wiederherstellung der Unabhängigkeit,EN Day of the Restoration of Independence;
44756828-012c-4837-ae5a-92e98b31af53;LV;2021-05-10;;Public;LV Mātes dienu,DE Muttertag,EN Mother's Day;
818710fe-ac1e-43bd-bb76-4a1cfb56057b;LV;2021-05-23;;Public;LV Vasarsvētkus,DE Pfingsten,EN Pentecost;
42493605-2838-4960-a29c-7f2113c5a7c7;LV;2021-06-23;;Public;LV Līgo dienu,DE Mittsommernacht,EN Midsummer's Eve;
cf779ad2-76be-49cc-aaf3-702c66bdb50a;LV;2021-06-24;;Public;LV Jāņu dienu,DE Mittsommertag,EN Midsummer Day;
9b439458-15b6-4d41-9e3c-895b6209aff3;LV;2021-11-18;;Public;LV Latvijas Republikas Proklamēšanas dienu,DE Tag der Ausrufung der Republik Lettland,EN Day of the Proclamation of the Republic of Latvia;
3d9cc3a0-1233-4751-8306-2414f0da2b8f;LV;2021-12-24;;Public;LV Ziemassvētku vakars,DE Heiligabend,EN Christmas Eve;
6c81d3e8-e28b-453e-a719-bdb81da612f6;LV;2021-12-25;;Public;LV Ziemassvētki,DE Weihnachten,EN Christmas Day;
8e9fc179-1c0a-4ad9-8059-84fbc90bb084;LV;2021-12-26;;Public;LV Otrie Ziemassvētki,DE 2. Weihnachtsfeiertag,EN 2nd Day of Christmas;
d91eb53b-5d45-4a97-8541-536c2a8bb2cb;LV;2021-12-31;;Public;LV Vecgada dienu,DE Silvester,EN New Year's Eve;
91c1ad51-6a18-4ac5-81ab-454375027945;LV;2022-01-01;;Public;LV Jaungada dienu,DE Neujahr,EN New Year's Day;
2cc93562-5ed6-4143-9ef0-be7aba2aab12;LV;2022-04-15;;Public;LV Lielo Piektdienu,DE Karfreitag,EN Good Friday;
874a6267-e381-420c-9004-e13dc9486c4e;LV;2022-04-17;;Public;LV Pirmās Lieldienas,DE Ostersonntag,EN Easter Sunday;
