Id;Country;StartDate;EndDate;Type;RegionalScope;Name;
24db8278-ca39-4be0-9eea-f464fea9b3f2;MD;2026-04-12;;Public;National;RO Prima zi de Paşti conform calendarului bisericesc,DE Orthodoxer Ostersonntag,EN Orthodox Easter Sunday;
2a868d02-3d59-4e11-b56c-d57d4bcf8ea6;MD;2026-04-13;;Public;National;RO A doua zi de Paște conform calendarului bisericesc,DE Orthodoxer Ostermontag,EN Orthodox Easter Monday;
ef1059c1-6414-4570-86ad-0241362be88f;MD;2026-04-20;;Public;National;RO Ziua Comemorarii (Pastele Blajinilor),DE Gedenktag (Raduniza),EN Commemoration Day (Radonitsa);
85629eae-2f66-4940-8e4a-70c60b07960a;MD;2026-05-01;;Public;National;RO Ziua internaţională a solidarităţii oamenilor muncii,DE Tag der Arbeit,EN Labour Day;
43797d7f-ae6e-4f30-bf99-ce565ab88db5;MD;2026-05-09;;Public;National;RO Ziua Europei,DE Europatag,EN Europe Day;
974869be-0985-4667-a8df-e08d43456443;MD;2026-05-09;;Public;National;RO Ziua Victoriei şi a comemorării eroilor căzuţi pentru Independenţa Patriei,DE Tag des Sieges,EN Victory Day;
a1109dd9-d268-4edb-8068-77296810cd60;MD;2026-06-01;;Public;National;RO Ziua ocrotirii copilului,DE Weltkindertag,EN Children's Day;
478a7eb8-fe83-48ff-8522-b49325e665f6;MD;2026-08-27;;Public;National;RO Ziua independenţei Republicii Moldova,DE Unabhängigkeitstag der Republik Moldau,EN Independence Day of the Republic of Moldova;
3366825e-face-4417-a61f-a2b69277c983;MD;2026-08-31;;Public;National;"RO Sărbătoarea ""Limba noastră"",DE Nationaler Tag der Sprache,EN National Language Day";
9a97b007-9f77-44bb-b577-aa7827f2a49d;MD;2026-12-25;;Public;National;RO Naşterea lui Iisus Hristos (Crăciunul pe stil nou),DE Geburt Jesu Christi (Weihnachten im neuen Stil),EN Birth of Jesus Christ (Christmas in a new style);
091f8ddb-fe35-496a-b9ed-abf9c36688cd;MD;2027-01-01;;Public;National;RO Anul Nou,DE Neujahr,EN New Year;
e4d5bc45-641c-4772-9b9f-20c275674943;MD;2027-01-07;2027-01-08;Public;National;RO Naşterea lui Iisus Hristos (Crăciunul pe stil vechi),DE Geburt Jesu Christi (Weihnachten im alten Stil),EN Birth of Jesus Christ (Christmas in the old style);
4d387f8d-2467-43c9-b8ad-dea18746d73f;MD;2027-03-08;;Public;National;RO Ziua internaţională a femeii,DE Internationaler Frauentag,EN International Women's Day;
0a652ec9-1524-49cb-af53-379c3f3f81cd;MD;2027-05-01;;Public;National;RO Ziua internaţională a solidarităţii oamenilor muncii,DE Tag der Arbeit,EN Labour Day;
3b2abf5c-88b9-46b7-8f13-d4326f5ba65a;MD;2027-05-02;;Public;National;RO Prima zi de Paşti conform calendarului bisericesc,DE Orthodoxer Ostersonntag,EN Orthodox Easter Sunday;
78ed9159-bb6a-413e-b1e0-bb2c8d8e15ec;MD;2027-05-03;;Public;National;RO A doua zi de Paște conform calendarului bisericesc,DE Orthodoxer Ostermontag,EN Orthodox Easter Monday;
5a3721ae-b032-4e0f-b3d1-fa618d62b57b;MD;2027-05-09;;Public;National;RO Ziua Europei,DE Europatag,EN Europe Day;
43ab8527-069f-4226-a6c5-5bfac575f00b;MD;2027-05-09;;Public;National;RO Ziua Victoriei şi a comemorării eroilor căzuţi pentru Independenţa Patriei,DE Tag des Sieges,EN Victory Day;
54b2df4c-04b0-43a0-a989-ccb6555e01ca;MD;2027-05-10;;Public;National;RO Ziua Comemorarii (Pastele Blajinilor),DE Gedenktag (Raduniza),EN Commemoration Day (Radonitsa);
321f53c6-0da9-4d41-b008-4db2fd3ed1af;MD;2027-06-01;;Public;National;RO Ziua ocrotirii copilului,DE Weltkindertag,EN Children's Day;
42afcb4b-1536-40a2-b82b-7f8bce62b2f8;MD;2027-08-27;;Public;National;RO Ziua independenţei Republicii Moldova,DE Unabhängigkeitstag der Republik Moldau,EN Independence Day of the Republic of Moldova;
87d0ea21-2c14-45bb-80bc-2bd70d967a41;MD;2027-08-31;;Public;National;"RO Sărbătoarea ""Limba noastră"",DE Nationaler Tag der Sprache,EN National Language Day";
54f3b54e-ba56-4144-9ddd-471c46391563;MD;2027-12-25;;Public;National;RO Naşterea lui Iisus Hristos (Crăciunul pe stil nou),DE Geburt Jesu Christi (Weihnachten im neuen Stil),EN Birth of Jesus Christ (Christmas in a new style);
29bab5df-f3a0-4b3b-a245-40489f06da1f;MD;2028-01-01;;Public;National;RO Anul Nou,DE Neujahr,EN New Year;
e2997e97-37c0-47e2-a390-f813ca428a04;MD;2028-01-07;2028-01-08;Public;National;RO Naşterea lui Iisus Hristos (Crăciunul pe stil vechi),DE Geburt Jesu Christi (Weihnachten im alten Stil),EN Birth of Jesus Christ (Christmas in the old style);
4189d0d1-5a61-43d6-9d63-a37a0dbbfb30;MD;2028-03-08;;Public;National;RO Ziua internaţională a femeii,DE Internationaler Frauentag,EN International Women's Day;
7e0d5339-3168-4af3-b5c9-71685e87b087;MD;2028-04-16;;Public;National;RO Prima zi de Paşti conform calendarului bisericesc,DE Orthodoxer Ostersonntag,EN Orthodox Easter Sunday;
8f7668d6-c01c-4c14-b873-18431d57aaa3;MD;2028-04-17;;Public;National;RO A doua zi de Paște conform calendarului bisericesc,DE Orthodoxer Ostermontag,EN Orthodox Easter Monday;
af1cc260-3834-41bf-b9f0-dc038efae6b2;MD;2028-04-24;;Public;National;RO Ziua Comemorarii (Pastele Blajinilor),DE Gedenktag (Raduniza),EN Commemoration Day (Radonitsa);
d876d54c-2966-4c2d-bea8-8e6365b51cc1;MD;2028-05-01;;Public;National;RO Ziua internaţională a solidarităţii oamenilor muncii,DE Tag der Arbeit,EN Labour Day;
28094694-136c-4e98-a24b-080c939b9a8e;MD;2028-05-09;;Public;National;RO Ziua Europei,DE Europatag,EN Europe Day;
cd7f4e0c-8c25-4717-b4a4-ece9163269ff;MD;2028-05-09;;Public;National;RO Ziua Victoriei şi a comemorării eroilor căzuţi pentru Independenţa Patriei,DE Tag des Sieges,EN Victory Day;
8980e5ff-c4ab-4261-8be9-92d787ea9690;MD;2028-06-01;;Public;National;RO Ziua ocrotirii copilului,DE Weltkindertag,EN Children's Day;
694475cd-1431-47bd-a906-faa786c1789b;MD;2028-08-27;;Public;National;RO Ziua independenţei Republicii Moldova,DE Unabhängigkeitstag der Republik Moldau,EN Independence Day of the Republic of Moldova;
712be907-42a4-4653-b0f2-083eae4263eb;MD;2028-08-31;;Public;National;"RO Sărbătoarea ""Limba noastră"",DE Nationaler Tag der Sprache,EN National Language Day";
ebdb9007-6d95-4828-ba9f-6b065ad2013b;MD;2028-12-25;;Public;National;RO Naşterea lui Iisus Hristos (Crăciunul pe stil nou),DE Geburt Jesu Christi (Weihnachten im neuen Stil),EN Birth of Jesus Christ (Christmas in a new style);
9ae2b5aa-0dd7-429c-9bbb-a9fa549b1da5;MD;2029-01-01;;Public;National;RO Anul Nou,DE Neujahr,EN New Year;
