Id;Country;StartDate;EndDate;Type;RegionalScope;Name;Subdivisions;Groups;Tags
80ecc190-d0ca-4e51-85a9-be2b3b604835;CH;2024-10-07;2024-10-19;School;Regional;DE Herbstferien,FR Vacances d'automne,IT Vacanze d'autunno,EN Autumn holidays;ZH;ZH-BS,ZH-MS;
ebcc1879-efb8-41ef-a9ab-e28752e52da9;CH;2024-12-23;2025-01-04;School;Regional;DE Weihnachtsferien,FR Vacances de Noël,IT Vacanze di Natale,EN Christmas holidays;ZH;;
9bd93e08-f7c4-49f8-ba9c-f891b18ad1b3;CH;2025-04-18;2025-04-21;School;Regional;DE Ostern,FR Pâques,IT Pasqua,EN Easter;ZH;ZH-VS;Recommended
842432c6-cf71-4e27-a779-3bce594e61b9;CH;2025-04-18;2025-04-21;School;Regional;DE Ostern,FR Pâques,IT Pasqua,EN Easter;ZH;ZH-BS,ZH-MS;
5ae70f0f-6dfd-45e1-9b62-6fbcb783e6db;CH;2025-04-21;2025-05-03;School;Regional;DE Frühlingsferien,FR Vacances de printemps,IT Vacanze di primavera,EN Spring holidays;ZH;ZH-VS;Recommended
ec9a3c1c-944e-459c-9769-a61467efa0e6;CH;2025-04-21;2025-05-03;School;Regional;DE Frühlingsferien,FR Vacances de printemps,IT Vacanze di primavera,EN Spring holidays;ZH;ZH-BS,ZH-MS;
a7e6f4ca-1b3b-499b-9948-e388f44abef8;CH;2025-05-29;2025-05-31;School;Regional;DE Auffahrtsbrücke,FR Pont de l'Ascension,IT Ponte dell'Ascensione,EN Ascension Bridge;ZH;ZH-BS,ZH-MS;
135dd0bf-0703-4958-9fa2-c2067c398760;CH;2025-07-14;2025-08-16;School;Regional;DE Sommerferien,FR Vacances d'été,IT Vacanze estive,EN Summer holidays;ZH;ZH-VS;Recommended
a4ecbaac-7ab8-4ae1-adf4-592ed79dd396;CH;2025-10-06;2025-10-18;School;Regional;DE Herbstferien,FR Vacances d'automne,IT Vacanze d'autunno,EN Autumn holidays;ZH;ZH-VS;Recommended
de25c0df-ebf0-49d2-8632-e526352496fa;CH;2025-10-06;2025-10-18;School;Regional;DE Herbstferien,FR Vacances d'automne,IT Vacanze d'autunno,EN Autumn holidays;ZH;ZH-BS,ZH-MS;
0ed0aaee-13b3-4fb8-87ce-b7eaea1b3a0b;CH;2025-12-22;2026-01-03;School;Regional;DE Weihnachtsferien,FR Vacances de Noël,IT Vacanze di Natale,EN Christmas holidays;ZH;;
a751cd88-e7c4-457c-8f3b-7b019305e2c5;CH;2026-04-03;2026-04-06;School;Regional;DE Ostern,FR Pâques,IT Pasqua,EN Easter;ZH;ZH-VS;Recommended
d505865c-62b0-443c-84b5-87e7b058b4ac;CH;2026-04-03;2026-04-06;School;Regional;DE Ostern,FR Pâques,IT Pasqua,EN Easter;ZH;ZH-BS,ZH-MS;
9b183e08-6576-4676-ab90-970ec755662b;CH;2026-04-20;2026-05-02;School;Regional;DE Frühlingsferien,FR Vacances de printemps,IT Vacanze di primavera,EN Spring holidays;ZH;ZH-VS;Recommended
4fde682c-7f2c-4131-8215-7f8d0248ef77;CH;2026-04-20;2026-05-02;School;Regional;DE Frühlingsferien,FR Vacances de printemps,IT Vacanze di primavera,EN Spring holidays;ZH;ZH-BS,ZH-MS;
4250e1b0-ffb1-4326-99b0-1912ac9c103d;CH;2026-05-14;2026-05-16;School;Regional;DE Auffahrtsbrücke,FR Pont de l'Ascension,IT Ponte dell'Ascensione,EN Ascension Bridge;ZH;ZH-BS,ZH-MS;
2c715e6e-2cbe-4cd1-9ea8-f50f53235cb4;CH;2026-07-13;2026-08-15;School;Regional;DE Sommerferien,FR Vacances d'été,IT Vacanze estive,EN Summer holidays;ZH;ZH-VS;Recommended
78fec4c7-55a8-4b55-befb-1dda4c5a454a;CH;2026-10-05;2026-10-17;School;Regional;DE Herbstferien,FR Vacances d'automne,IT Vacanze d'autunno,EN Autumn holidays;ZH;ZH-VS;Recommended
e4a7d68f-5995-4faf-8b56-372f8790e57b;CH;2026-10-05;2026-10-17;School;Regional;DE Herbstferien,FR Vacances d'automne,IT Vacanze d'autunno,EN Autumn holidays;ZH;ZH-BS,ZH-MS;
9b3287e2-e686-47d2-8a5d-751956525815;CH;2026-12-21;2027-01-02;School;Regional;DE Weihnachtsferien,FR Vacances de Noël,IT Vacanze di Natale,EN Christmas holidays;ZH;;
1617d52e-9917-481f-8599-74d7dc07f697;CH;2027-03-26;2027-03-29;School;Regional;DE Ostern,FR Pâques,IT Pasqua,EN Easter;ZH;ZH-VS;Recommended
13cfd31d-fdf1-4218-850c-4380d6e5ac77;CH;2027-03-26;2027-03-29;School;Regional;DE Ostern,FR Pâques,IT Pasqua,EN Easter;ZH;ZH-BS,ZH-MS;
b0ae749e-fc37-42b5-b577-612552362dbb;CH;2027-04-26;2027-05-08;School;Regional;DE Frühlingsferien,FR Vacances de printemps,IT Vacanze di primavera,EN Spring holidays;ZH;ZH-VS;Recommended
722aae36-85d6-4fec-abfb-dd89a2c38cb7;CH;2027-04-26;2027-05-08;School;Regional;DE Frühlingsferien,FR Vacances de printemps,IT Vacanze di primavera,EN Spring holidays;ZH;ZH-BS,ZH-MS;
c58ab016-4e99-4242-816c-7f0062d96546;CH;2027-05-06;2027-05-08;School;Regional;DE Auffahrtsbrücke,FR Pont de l'Ascension,IT Ponte dell'Ascensione,EN Ascension Bridge;ZH;ZH-BS,ZH-MS;
4eb8b079-07d1-4212-8d98-6e049c3bccad;CH;2027-07-19;2027-08-21;School;Regional;DE Sommerferien,FR Vacances d'été,IT Vacanze estive,EN Summer holidays;ZH;ZH-VS;Recommended
8a239fe3-71d6-496a-b0b7-8e0300706e6a;CH;2027-10-11;2027-10-23;School;Regional;DE Herbstferien,FR Vacances d'automne,IT Vacanze d'autunno,EN Autumn holidays;ZH;ZH-VS;Recommended
93096014-9c02-401b-bcc3-0978f4182126;CH;2027-10-11;2027-10-23;School;Regional;DE Herbstferien,FR Vacances d'automne,IT Vacanze d'autunno,EN Autumn holidays;ZH;ZH-BS,ZH-MS;
1fa0fa73-9c42-4666-bb58-db6976a4ea82;CH;2027-12-20;2028-01-01;School;Regional;DE Weihnachtsferien,FR Vacances de Noël,IT Vacanze di Natale,EN Christmas holidays;ZH;;
bd62eb06-e939-491b-bf50-2fc3caebdcda;CH;2028-04-14;2028-04-17;School;Regional;DE Ostern,FR Pâques,IT Pasqua,EN Easter;ZH;ZH-VS;Recommended
57e7dc7a-8fc9-4018-9a4a-7e3d66568705;CH;2028-04-14;2028-04-17;School;Regional;DE Ostern,FR Pâques,IT Pasqua,EN Easter;ZH;ZH-BS,ZH-MS;
