Id;Country;StartDate;EndDate;Type;Names;Subdivisions;OUnits;Comments
69a260d0-e5ed-4de4-8499-15d9931946ce;CH;2023-07-08;2023-08-23;School;DE Sommer,FR Été,EN Summer;FR;PRIM;FR Écoles primaires (ville)
e6ac679f-e28c-4fe4-be35-f715f64633ae;CH;2023-10-14;2023-10-29;School;DE Herbst,FR Automne,EN Autumn;FR;PRIM;FR Écoles primaires (ville)
6d474421-2977-46ec-b690-ef6f4b37301e;CH;2023-12-23;2024-01-07;School;DE Winter,FR Noël,EN Christmas;FR;PRIM;FR Écoles primaires (ville)
b34ecd7f-4e39-476b-a254-b5ff9186b1a4;CH;2023-02-18;2023-02-26;School;DE Sport,FR Sport,EN Sport;FR;SEC2;FR Écoles sec. II
086241fb-dbd1-4028-bbd7-bdd3b65ccbab;CH;2023-04-07;2023-04-23;School;DE Frühling,FR Printemps,EN Spring;FR;SEC2;FR Écoles sec. II
92daab0e-44c8-4e50-b326-cbfba7561286;CH;2023-07-01;2023-08-23;School;DE Sommer,FR Été,EN Summer;FR;SEC2;FR Écoles sec. II
b00c11bf-c02b-407d-95ae-7abb2987dfd5;CH;2023-10-14;2023-10-29;School;DE Herbst,FR Automne,EN Autumn;FR;SEC2;FR Écoles sec. II
bde36e0c-6dc4-45df-a717-96e906724bc5;CH;2023-12-23;2024-01-07;School;DE Winter,FR Noël,EN Christmas;FR;SEC2;FR Écoles sec. II
6e4a5707-c1b1-4667-8166-6c68708dbee7;CH;2024-02-10;2024-02-18;School;DE Sport,FR Sport,EN Sport;FR;PRIM;FR Écoles primaires (ville)
28e0920a-ef7b-4f83-93de-da7572cbb2fe;CH;2024-03-29;2024-04-14;School;DE Frühling,FR Printemps,EN Spring;FR;PRIM;FR Écoles primaires (ville)
6ac9c6c0-80c7-41b8-bbcc-49843abc1816;CH;2024-07-06;2024-08-21;School;DE Sommer,FR Été,EN Summer;FR;PRIM;FR Écoles primaires (ville)
cc72d591-60b3-4a1b-8e46-0cea19a3be70;CH;2024-10-12;2024-10-27;School;DE Herbst,FR Automne,EN Autumn;FR;PRIM;FR Écoles primaires (ville)
c1064601-75a8-48f3-8b11-fe2723ad386a;CH;2024-12-21;2025-01-05;School;DE Winter,FR Noël,EN Christmas;FR;PRIM;FR Écoles primaires (ville)
3e685926-ca35-4a5a-a900-4a50d0bcaf0d;CH;2024-02-10;2024-02-18;School;DE Sport,FR Sport,EN Sport;FR;SEC2;FR Écoles sec. II
f96c70a8-38b2-42ad-b35c-00f926d625e9;CH;2024-03-29;2024-04-14;School;DE Frühling,FR Printemps,EN Spring;FR;SEC2;FR Écoles sec. II
5c7b1ca0-7ee3-4c14-af87-462117e59835;CH;2024-06-29;2024-08-21;School;DE Sommer,FR Été,EN Summer;FR;SEC2;FR Écoles sec. II
c7c83d56-3033-4d42-b48d-134c7763a001;CH;2024-10-12;2024-10-27;School;DE Herbst,FR Automne,EN Autumn;FR;SEC2;FR Écoles sec. II
001679f0-f154-40f5-afd1-8c82c31f256b;CH;2024-12-21;2025-01-05;School;DE Winter,FR Noël,EN Christmas;FR;SEC2;FR Écoles sec. II
